index,Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Date,Weekday,Holidays,Property_id
78703,2019-01-01 02:00:00,Lämpö,MWh,2019,1,1,2,0.16,0.7,2019-01-01,Tuesday,1,1
62312,2019-01-01 03:00:00,Lämpö,MWh,2019,1,1,3,0.16,0.8,2019-01-01,Tuesday,1,1
63420,2019-01-01 04:00:00,Lämpö,MWh,2019,1,1,4,0.16,0.8,2019-01-01,Tuesday,1,1
59057,2019-01-01 05:00:00,Lämpö,MWh,2019,1,1,5,0.16,0.9,2019-01-01,Tuesday,1,1
73288,2019-01-01 06:00:00,Lämpö,MWh,2019,1,1,6,0.2,1.1,2019-01-01,Tuesday,1,1
79864,2019-01-01 07:00:00,Lämpö,MWh,2019,1,1,7,0.21,1.4,2019-01-01,Tuesday,1,1
61279,2019-01-01 08:00:00,Lämpö,MWh,2019,1,1,8,0.21,1.7,2019-01-01,Tuesday,1,1
73322,2019-01-01 09:00:00,Lämpö,MWh,2019,1,1,9,0.21,1.9,2019-01-01,Tuesday,1,1
61299,2019-01-01 10:00:00,Lämpö,MWh,2019,1,1,10,0.21,1.7,2019-01-01,Tuesday,1,1
59003,2019-01-01 11:00:00,Lämpö,MWh,2019,1,1,11,0.21,1.7,2019-01-01,Tuesday,1,1
63521,2019-01-01 12:00:00,Lämpö,MWh,2019,1,1,12,0.2,1.7,2019-01-01,Tuesday,1,1
73370,2019-01-01 13:00:00,Lämpö,MWh,2019,1,1,13,0.21,1.7,2019-01-01,Tuesday,1,1
78853,2019-01-01 14:00:00,Lämpö,MWh,2019,1,1,14,0.22,1.3,2019-01-01,Tuesday,1,1
70112,2019-01-01 15:00:00,Lämpö,MWh,2019,1,1,15,0.22,0.6,2019-01-01,Tuesday,1,1
63568,2019-01-01 16:00:00,Lämpö,MWh,2019,1,1,16,0.22,0.2,2019-01-01,Tuesday,1,1
85310,2019-01-01 17:00:00,Lämpö,MWh,2019,1,1,17,0.22,0.3,2019-01-01,Tuesday,1,1
63584,2019-01-01 18:00:00,Lämpö,MWh,2019,1,1,18,0.19,0.4,2019-01-01,Tuesday,1,1
64693,2019-01-01 19:00:00,Lämpö,MWh,2019,1,1,19,0.19,0.6,2019-01-01,Tuesday,1,1
70175,2019-01-01 20:00:00,Lämpö,MWh,2019,1,1,20,0.16,0.4,2019-01-01,Tuesday,1,1
66911,2019-01-01 21:00:00,Lämpö,MWh,2019,1,1,21,0.16,0.4,2019-01-01,Tuesday,1,1
58894,2019-01-01 22:00:00,Lämpö,MWh,2019,1,1,22,0.16,0.2,2019-01-01,Tuesday,1,1
76765,2019-01-01 23:00:00,Lämpö,MWh,2019,1,1,23,0.17,-0.4,2019-01-01,Tuesday,1,1
63660,2019-01-02 00:00:00,Lämpö,MWh,2019,1,2,0,0.17,-0.8,2019-01-02,Wednesday,0,1
66954,2019-01-02 01:00:00,Lämpö,MWh,2019,1,2,1,0.18,-1.3,2019-01-02,Wednesday,0,1
59663,2019-01-02 02:00:00,Lämpö,MWh,2019,1,2,2,0.19,-2.1,2019-01-02,Wednesday,0,1
80092,2019-01-02 03:00:00,Lämpö,MWh,2019,1,2,3,0.19,-2.9,2019-01-02,Wednesday,0,1
75739,2019-01-02 04:00:00,Lämpö,MWh,2019,1,2,4,0.2,-2.7,2019-01-02,Wednesday,0,1
61528,2019-01-02 05:00:00,Lämpö,MWh,2019,1,2,5,0.2,-2.9,2019-01-02,Wednesday,0,1
57165,2019-01-02 06:00:00,Lämpö,MWh,2019,1,2,6,0.32,-3.8,2019-01-02,Wednesday,0,1
60466,2019-01-02 07:00:00,Lämpö,MWh,2019,1,2,7,0.4,-4.2,2019-01-02,Wednesday,0,1
83444,2019-01-02 08:00:00,Lämpö,MWh,2019,1,2,8,0.41,-4.4,2019-01-02,Wednesday,0,1
79079,2019-01-02 09:00:00,Lämpö,MWh,2019,1,2,9,0.41,-4.7,2019-01-02,Wednesday,0,1
81277,2019-01-02 10:00:00,Lämpö,MWh,2019,1,2,10,0.37,-5.1,2019-01-02,Wednesday,0,1
73641,2019-01-02 11:00:00,Lämpö,MWh,2019,1,2,11,0.34,-5.3,2019-01-02,Wednesday,0,1
63805,2019-01-02 12:00:00,Lämpö,MWh,2019,1,2,12,0.37,-5.4,2019-01-02,Wednesday,0,1
61630,2019-01-02 13:00:00,Lämpö,MWh,2019,1,2,13,0.39,-5.8,2019-01-02,Wednesday,0,1
73667,2019-01-02 14:00:00,Lämpö,MWh,2019,1,2,14,0.38,-5.6,2019-01-02,Wednesday,0,1
61658,2019-01-02 15:00:00,Lämpö,MWh,2019,1,2,15,0.35,-5.9,2019-01-02,Wednesday,0,1
78072,2019-01-02 16:00:00,Lämpö,MWh,2019,1,2,16,0.34,-6.0,2019-01-02,Wednesday,0,1
75894,2019-01-02 17:00:00,Lämpö,MWh,2019,1,2,17,0.34,-5.9,2019-01-02,Wednesday,0,1
58530,2019-01-02 18:00:00,Lämpö,MWh,2019,1,2,18,0.3,-5.8,2019-01-02,Wednesday,0,1
63884,2019-01-02 19:00:00,Lämpö,MWh,2019,1,2,19,0.3,-6.1,2019-01-02,Wednesday,0,1
70459,2019-01-02 20:00:00,Lämpö,MWh,2019,1,2,20,0.25,-6.4,2019-01-02,Wednesday,0,1
61715,2019-01-02 21:00:00,Lämpö,MWh,2019,1,2,21,0.24,-6.9,2019-01-02,Wednesday,0,1
73759,2019-01-02 22:00:00,Lämpö,MWh,2019,1,2,22,0.23,-6.8,2019-01-02,Wednesday,0,1
58834,2019-01-02 23:00:00,Lämpö,MWh,2019,1,2,23,0.25,-7.5,2019-01-02,Wednesday,0,1
